freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.821e+02,1.735e+01,2.621e+01,5.257e+02
1.6,2.785e+02,2.299e+01,3.631e+01,3.378e+02
3.1,2.587e+01,1.711e+01,2.901e+01,7.199e+01
4.7,3.462e+02,2.116e+01,3.040e+01,3.977e+02
6.2,1.223e+03,2.876e+01,3.121e+01,1.283e+03
7.8,1.943e+03,3.453e+01,3.245e+01,2.010e+03
9.4,2.709e+03,4.443e+01,3.144e+01,2.785e+03
10.9,3.706e+03,5.838e+01,3.096e+01,3.795e+03
12.5,4.854e+03,7.675e+01,3.045e+01,4.961e+03
14.1,6.156e+03,8.596e+01,2.897e+01,6.271e+03
15.6,7.849e+03,5.929e+01,3.185e+01,7.941e+03
17.2,9.854e+03,7.580e+01,3.809e+01,9.968e+03
18.7,1.190e+04,1.330e+02,3.851e+01,1.207e+04
20.3,1.368e+04,1.923e+02,3.794e+01,1.391e+04
21.9,1.620e+04,1.830e+02,4.297e+01,1.642e+04
23.4,1.912e+04,1.678e+02,4.472e+01,1.933e+04
25.0,2.306e+04,1.762e+02,4.567e+01,2.329e+04
26.6,2.788e+04,1.875e+02,6.050e+01,2.813e+04
28.1,3.331e+04,1.957e+02,9.635e+01,3.360e+04
29.7,3.734e+04,3.392e+02,1.439e+02,3.782e+04
31.2,4.127e+04,6.489e+02,1.968e+02,4.212e+04
32.8,4.902e+04,7.491e+02,3.212e+02,5.009e+04
34.4,6.093e+04,7.204e+02,6.158e+02,6.227e+04
35.9,7.507e+04,7.045e+02,1.381e+03,7.716e+04
37.5,9.411e+04,8.074e+02,3.060e+03,9.798e+04
39.0,1.147e+05,1.238e+03,4.299e+03,1.203e+05
40.6,1.387e+05,1.865e+03,4.381e+03,1.449e+05
42.2,1.702e+05,2.545e+03,5.128e+03,1.779e+05
43.7,2.046e+05,2.547e+03,5.450e+03,2.126e+05
45.3,2.600e+05,3.229e+03,5.526e+03,2.688e+05
46.9,3.282e+05,6.511e+03,6.525e+03,3.413e+05
48.4,3.826e+05,1.167e+04,7.322e+03,4.016e+05
50.0,4.672e+05,1.534e+04,8.908e+03,4.914e+05
51.5,7.194e+05,1.838e+04,1.425e+04,7.520e+05
53.1,1.205e+06,2.556e+04,2.837e+04,1.258e+06
54.7,1.697e+06,3.802e+04,5.092e+04,1.786e+06
56.2,1.854e+06,4.612e+04,7.197e+04,1.973e+06
57.8,1.626e+06,4.144e+04,8.237e+04,1.750e+06
59.3,1.340e+06,2.920e+04,7.699e+04,1.447e+06
60.9,1.150e+06,1.455e+04,6.216e+04,1.226e+06
62.5,9.626e+05,4.681e+03,4.644e+04,1.014e+06
64.0,7.989e+05,3.783e+03,3.654e+04,8.392e+05
65.6,6.752e+05,9.401e+03,3.120e+04,7.158e+05
67.2,5.275e+05,1.549e+04,2.649e+04,5.695e+05
68.7,4.005e+05,2.042e+04,2.311e+04,4.440e+05
70.3,3.321e+05,2.449e+04,2.120e+04,3.778e+05
71.8,2.710e+05,2.475e+04,1.835e+04,3.141e+05
73.4,2.280e+05,2.183e+04,1.895e+04,2.688e+05
75.0,2.103e+05,1.979e+04,1.728e+04,2.473e+05
76.5,1.932e+05,2.032e+04,1.050e+04,2.240e+05
78.1,1.701e+05,2.043e+04,5.416e+03,1.960e+05
79.7,1.468e+05,2.129e+04,2.810e+03,1.709e+05
81.2,1.242e+05,2.385e+04,1.880e+03,1.500e+05
82.8,1.077e+05,2.514e+04,1.816e+03,1.347e+05
84.3,1.038e+05,2.093e+04,1.958e+03,1.267e+05
85.9,1.022e+05,1.185e+04,2.172e+03,1.162e+05
87.5,9.798e+04,5.597e+03,2.964e+03,1.065e+05
89.0,9.038e+04,2.780e+03,3.894e+03,9.705e+04
90.6,8.658e+04,1.439e+03,4.091e+03,9.211e+04
92.1,8.414e+04,1.110e+03,3.874e+03,8.912e+04
93.7,8.126e+04,1.275e+03,4.000e+03,8.654e+04
95.3,7.813e+04,1.776e+03,5.486e+03,8.539e+04
96.8,7.406e+04,2.355e+03,8.879e+03,8.530e+04
98.4,6.882e+04,3.148e+03,1.297e+04,8.494e+04
100.0,6.316e+04,4.754e+03,1.494e+04,8.285e+04
101.5,6.084e+04,7.485e+03,1.257e+04,8.090e+04
103.1,6.185e+04,1.048e+04,6.914e+03,7.925e+04
104.6,6.256e+04,1.145e+04,2.410e+03,7.642e+04
106.2,6.933e+04,1.127e+04,6.175e+02,8.122e+04
107.8,8.423e+04,1.146e+04,1.244e+03,9.694e+04
109.3,1.006e+05,1.188e+04,4.103e+03,1.166e+05
110.9,1.150e+05,1.165e+04,7.979e+03,1.346e+05
