freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.591e+00,5.233e+01,5.273e+02,5.882e+02
1.6,1.704e+01,4.074e+01,3.124e+02,3.702e+02
3.1,1.574e+01,1.534e+01,3.901e+01,7.009e+01
4.7,1.601e+01,1.588e+01,4.016e+02,4.335e+02
6.2,1.566e+01,1.584e+01,1.373e+03,1.405e+03
7.8,1.514e+01,1.636e+01,1.951e+03,1.983e+03
9.4,1.339e+01,1.580e+01,2.900e+03,2.929e+03
10.9,1.440e+01,1.585e+01,4.278e+03,4.308e+03
12.5,1.565e+01,1.773e+01,6.005e+03,6.039e+03
14.0,1.747e+01,2.124e+01,8.309e+03,8.348e+03
15.6,2.192e+01,2.199e+01,1.081e+04,1.085e+04
17.2,2.098e+01,2.931e+01,1.337e+04,1.342e+04
18.7,1.636e+01,6.367e+01,1.788e+04,1.796e+04
20.3,1.756e+01,1.792e+02,2.385e+04,2.405e+04
21.9,3.078e+01,2.545e+02,3.143e+04,3.171e+04
23.4,3.632e+01,2.424e+02,3.965e+04,3.993e+04
25.0,2.662e+01,2.751e+02,5.067e+04,5.098e+04
26.5,4.852e+01,5.802e+02,6.882e+04,6.945e+04
28.1,1.692e+02,1.533e+03,9.988e+04,1.016e+05
29.7,2.891e+02,2.521e+03,1.431e+05,1.459e+05
31.2,3.591e+02,3.744e+03,2.191e+05,2.232e+05
32.8,8.393e+02,8.678e+03,4.055e+05,4.150e+05
34.3,3.831e+03,3.019e+04,8.546e+05,8.886e+05
35.9,7.944e+03,6.346e+04,1.178e+06,1.249e+06
37.5,7.813e+03,7.095e+04,1.066e+06,1.145e+06
39.0,8.592e+03,7.141e+04,9.779e+05,1.058e+06
40.6,9.483e+03,7.556e+04,8.517e+05,9.367e+05
42.1,9.645e+03,7.806e+04,6.807e+05,7.684e+05
43.7,8.603e+03,7.471e+04,5.183e+05,6.016e+05
45.3,7.157e+03,6.822e+04,4.144e+05,4.898e+05
46.8,5.744e+03,5.962e+04,3.536e+05,4.190e+05
48.4,4.671e+03,5.660e+04,3.015e+05,3.628e+05
50.0,3.628e+03,6.032e+04,2.656e+05,3.295e+05
51.5,2.920e+03,5.864e+04,2.421e+05,3.036e+05
53.1,2.295e+03,5.748e+04,2.329e+05,2.927e+05
54.6,1.850e+03,6.567e+04,2.279e+05,2.954e+05
56.2,1.951e+03,8.576e+04,2.210e+05,3.087e+05
57.8,1.858e+03,1.034e+05,1.903e+05,2.955e+05
59.3,1.399e+03,1.034e+05,1.382e+05,2.429e+05
60.9,1.800e+03,8.377e+04,9.093e+04,1.765e+05
62.4,3.181e+03,5.860e+04,6.043e+04,1.222e+05
64.0,4.088e+03,4.083e+04,4.417e+04,8.908e+04
65.6,4.001e+03,2.821e+04,3.605e+04,6.826e+04
67.1,3.443e+03,1.828e+04,3.104e+04,5.276e+04
68.7,2.858e+03,1.081e+04,2.834e+04,4.201e+04
70.2,2.509e+03,6.440e+03,2.818e+04,3.713e+04
71.8,2.506e+03,3.832e+03,3.038e+04,3.671e+04
73.4,3.036e+03,2.608e+03,3.257e+04,3.821e+04
74.9,4.007e+03,2.569e+03,3.010e+04,3.667e+04
76.5,2.924e+03,2.272e+03,2.272e+04,2.791e+04
78.0,2.259e+03,2.906e+03,1.487e+04,2.003e+04
79.6,2.533e+03,4.921e+03,9.277e+03,1.673e+04
81.2,2.799e+03,7.619e+03,6.859e+03,1.728e+04
82.7,3.271e+03,1.271e+04,6.912e+03,2.289e+04
84.3,3.585e+03,1.953e+04,7.472e+03,3.059e+04
85.9,3.355e+03,2.261e+04,8.880e+03,3.484e+04
87.4,2.798e+03,2.123e+04,1.136e+04,3.539e+04
89.0,2.726e+03,1.904e+04,1.397e+04,3.573e+04
90.5,3.099e+03,2.067e+04,1.579e+04,3.956e+04
92.1,3.135e+03,2.488e+04,1.629e+04,4.431e+04
93.7,2.645e+03,2.618e+04,1.599e+04,4.482e+04
95.2,2.315e+03,2.451e+04,1.599e+04,4.282e+04
96.8,2.334e+03,2.171e+04,1.703e+04,4.108e+04
98.3,2.502e+03,1.849e+04,1.927e+04,4.026e+04
99.9,2.599e+03,1.598e+04,2.075e+04,3.932e+04
101.5,2.431e+03,1.551e+04,2.142e+04,3.936e+04
103.0,2.630e+03,1.452e+04,1.939e+04,3.654e+04
104.6,3.517e+03,1.084e+04,1.460e+04,2.896e+04
106.1,4.515e+03,8.217e+03,1.102e+04,2.375e+04
107.7,5.063e+03,7.683e+03,9.488e+03,2.223e+04
109.3,5.640e+03,7.611e+03,8.546e+03,2.180e+04
